name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",908426,0.00847106,0.00825983,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",5251,1.40675,1.37341,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",1947,3.61696,3.55793,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",25,294.541,287.494,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",56,150.979,144.115,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1121417,0.0101247,0.00930754,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",8313,0.953919,0.940553,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",1721,3.01449,2.95218,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",32,227.781,224.32,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",71,103.705,101.61,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1096298,0.00706856,0.00674681,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",10554,0.614265,0.603275,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2543,2.7548,2.64712,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",33,238.023,225.646,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",75,92.2778,91.1801,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1090598,0.00685099,0.00678267,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",14742,0.557064,0.526789,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2453,2.76189,2.64807,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",30,229.703,225.414,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",69,101.996,99.8239,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1013463,0.00701242,0.00669247,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",17721,0.391568,0.386018,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",2229,3.52472,3.32979,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/128/3/real_time",24,242.361,241.935,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/128/4/real_time",66,108.182,106.138,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/256/0/real_time",1097438,0.0066242,0.00636805,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/256/1/real_time",15452,0.456262,0.43002,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/256/2/real_time",1686,4.16381,4.04322,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/256/3/real_time",24,299.236,292.62,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/256/4/real_time",50,150.868,141.163,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/512/0/real_time",1103275,0.00664789,0.00630044,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/512/1/real_time",10000,0.515644,0.490989,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/512/2/real_time",1182,6.53776,6.24901,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/512/3/real_time",17,373.95,366.575,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/512/4/real_time",37,187.753,184.389,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/1024/0/real_time",1040134,0.00652639,0.00647011,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1024/1/real_time",8378,0.987506,0.908141,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/1024/2/real_time",667,10.36,9.74033,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/1024/3/real_time",14,520.014,502.881,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/1024/4/real_time",24,342.515,321.029,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/8/0/real_time",23952,0.317757,0.311427,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/8/1/real_time",860,8.40242,8.31045,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/8/2/real_time",271,30.3748,29.4844,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/8/3/real_time",8,924.364,923.853,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/8/4/real_time",12,588.218,587.807,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/16/0/real_time",25251,0.28771,0.287414,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/16/1/real_time",1323,5.73745,5.37116,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/16/2/real_time",376,18.5296,18.4681,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/16/3/real_time",12,562.47,562.127,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/16/4/real_time",18,409.942,408.728,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/32/0/real_time",24274,0.293559,0.293305,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/32/1/real_time",2355,3.32475,3.20552,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/32/2/real_time",447,15.4237,15.1991,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/32/3/real_time",19,370.352,370.134,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/32/4/real_time",25,307.059,302.036,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/64/0/real_time",23959,0.30698,0.303384,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/64/1/real_time",3135,2.29304,2.20987,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/64/2/real_time",510,17.417,16.3942,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/64/3/real_time",24,278.214,276.736,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/64/4/real_time",32,221.147,220.67,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/128/0/real_time",22792,0.311293,0.310991,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/128/1/real_time",3856,1.80128,1.78769,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/128/2/real_time",537,13.1194,13.049,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/128/3/real_time",29,266.508,263.937,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/128/4/real_time",36,195.053,194.878,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/256/0/real_time",22792,0.313148,0.312865,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/256/1/real_time",4412,1.96329,1.85724,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/256/2/real_time",545,16.1018,15.5621,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/256/3/real_time",31,229.982,229.807,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/256/4/real_time",37,204.927,203.18,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/512/0/real_time",23052,0.316526,0.316229,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/512/1/real_time",4556,1.50877,1.48292,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/512/2/real_time",465,15.6912,15.1483,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/512/3/real_time",30,233.271,233.126,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/512/4/real_time",36,196.714,196.576,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/1024/0/real_time",22463,0.313892,0.313615,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1024/1/real_time",3469,1.46013,1.42828,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/1024/2/real_time",512,13.6536,13.5604,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/1024/3/real_time",27,260.691,260.492,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/1024/4/real_time",28,225.078,223.647,ms,,,"horse_tr2 -> horse_ref",,
