name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/0/real_time",1215049,0.00631902,0.00615391,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/1/real_time",4328,1.61704,1.59414,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/2/real_time",479,16.1609,15.9354,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/3/real_time",1,5565.68,5523.05,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/4/real_time",1,5219.62,5187.11,ms,,,"horse_tr2 -> horse_ref",,
"BM_GPU/0/real_time",34060,0.219893,0.219707,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_GPU/1/real_time",4004,1.75733,1.75602,ms,,,"cow_tr1 -> cow_ref",,
"BM_GPU/2/real_time",420,16.6743,16.6627,ms,,,"cow_tr2 -> cow_ref",,
"BM_GPU/3/real_time",8,906.397,905.925,ms,,,"horse_tr1 -> horse_ref",,
"BM_GPU/4/real_time",8,849.658,849.301,ms,,,"horse_tr2 -> horse_ref",,
