name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CPU/8/0/real_time",949162,0.0076754,0.0075875,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/8/1/real_time",5757,1.20974,1.19037,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/8/2/real_time",2075,4.81473,4.53179,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/8/3/real_time",26,275.681,272.212,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/8/4/real_time",64,109.104,107.653,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/16/0/real_time",1185916,0.00624808,0.00609355,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/16/1/real_time",4444,1.38508,1.28288,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/16/2/real_time",2123,2.7509,2.70349,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/16/3/real_time",32,222.373,218.597,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/16/4/real_time",79,97.4137,95.8789,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/32/0/real_time",1237464,0.0061097,0.00600384,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/32/1/real_time",13152,0.562036,0.557253,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/32/2/real_time",2820,2.56471,2.53418,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/32/3/real_time",33,212.333,209.933,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/32/4/real_time",80,86.4337,85.1638,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/64/0/real_time",1229846,0.00606281,0.00602831,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/64/1/real_time",16566,0.467469,0.453376,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/64/2/real_time",2812,2.56614,2.55526,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/64/3/real_time",32,273.527,262.221,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/64/4/real_time",77,98.6432,97.4609,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/128/0/real_time",1200361,0.00583085,0.0057302,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/128/1/real_time",17778,0.36642,0.361362,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/128/2/real_time",2050,3.01943,2.98916,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/128/3/real_time",29,236.02,235.637,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/128/4/real_time",69,108.433,105.992,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/256/0/real_time",1173855,0.00626947,0.00610647,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/256/1/real_time",17553,0.369395,0.365012,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/256/2/real_time",1865,4.04714,3.97376,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/256/3/real_time",22,283.96,280.977,ms,,,"horse_tr1 -> horse_ref",,
"BM_CPU/256/4/real_time",52,133.388,132.198,ms,,,"horse_tr2 -> horse_ref",,
"BM_CPU/512/0/real_time",1243705,0.00609402,0.00606668,ms,,,"line_translated_2_3_4 -> line_ref",,
"BM_CPU/512/1/real_time",13702,0.630824,0.600485,ms,,,"cow_tr1 -> cow_ref",,
"BM_CPU/512/2/real_time",1011,6.12679,5.9285,ms,,,"cow_tr2 -> cow_ref",,
"BM_CPU/512/3/real_time",20,355.121,353.92,ms,,,"horse_tr1 -> horse_ref",,
