Points_0,Points_1,Points_2
0.695177,0.259586,-0.302882
0.738862,0.206164,-0.325479
0.690721,0.181976,-0.363947
0.780884,0.133412,-0.355366
0.741674,0.114422,-0.372936
0.640777,0.111817,-0.359588
0.621258,0.162757,-0.348871
0.597009,0.229937,-0.310618
0.643334,0.244118,-0.318275
0.579495,0.272757,-0.290151
0.616347,0.294745,-0.298024
0.718567,0.257452,-0.267749
0.570102,0.201306,-0.293528
0.594016,0.142568,-0.318165
0.54659,0.297487,-0.239802
0.559853,0.248834,-0.275803
0.555842,0.226573,-0.209818
0.664344,0.0994077,-0.232744
0.558813,0.178622,-0.217933
0.600413,0.11648,-0.230694
0.598575,0.225731,-0.132438
0.585681,0.299122,-0.149665
0.544214,0.280868,-0.19632
0.603688,0.165609,-0.137626
0.630763,0.126549,-0.131803
0.685339,0.114973,-0.137494
0.716804,0.0998662,-0.241274
0.737174,0.116789,-0.151548
0.753519,0.208174,-0.288459
0.800068,0.153526,-0.329455
0.773704,0.201972,-0.25088
0.823612,0.132654,-0.277853
0.733762,0.260273,-0.221699
0.76592,0.204991,-0.181796
0.796098,0.143877,-0.181276
0.73356,0.250113,-0.191693
0.65566,0.255856,-0.126002
0.628713,0.339663,-0.145362
0.677154,0.197013,-0.126914
0.712202,0.28607,-0.181253
-1.50654,0.236646,-0.365522
-1.4584,0.183224,-0.388118
-1.51145,0.159032,-0.426583
-1.41209,0.110472,-0.418006
-1.45529,0.0914776,-0.435575
-1.56649,0.0888723,-0.422228
-1.58801,0.139812,-0.411512
-1.61473,0.206992,-0.373254
-1.56368,0.221173,-0.380915
-1.63403,0.249813,-0.352791
-1.59342,0.2718,-0.360664
-1.48076,0.234512,-0.330389
-1.64438,0.178366,-0.356168
-1.61803,0.119623,-0.380805
-1.67029,0.274542,-0.302437
-1.65568,0.225894,-0.338443
-1.6601,0.203633,-0.272458
-1.54052,0.0764636,-0.295384
-1.65683,0.155677,-0.280573
-1.61098,0.0935405,-0.293335
-1.613,0.202791,-0.195078
-1.62721,0.276178,-0.212305
-1.67291,0.257924,-0.258956
-1.60737,0.142669,-0.200266
-1.57753,0.103604,-0.194443
-1.51739,0.0920285,-0.20013
-1.48271,0.076922,-0.30391
-1.46026,0.0938491,-0.214187
-1.44224,0.18523,-0.351094
-1.39094,0.130582,-0.392095
-1.42,0.179032,-0.31352
-1.365,0.109714,-0.340493
-1.46402,0.237333,-0.284338
-1.42858,0.182047,-0.244436
-1.39532,0.120933,-0.243916
-1.46424,0.227173,-0.254327
-1.5501,0.232917,-0.188638
-1.57979,0.316723,-0.207998
-1.52641,0.174068,-0.189554
-1.48778,0.26313,-0.243893
0.738866,0.206164,0.668514
0.695181,0.259586,0.64592
0.643338,0.244118,0.661313
0.780888,0.133412,0.698402
0.690725,0.181976,0.706985
0.621262,0.162757,0.691909
0.640781,0.111817,0.702625
0.741678,0.114422,0.715972
0.597013,0.229937,0.653656
0.579499,0.272757,0.633189
0.753523,0.208174,0.631495
0.559857,0.248834,0.618841
0.570106,0.201306,0.636566
0.59402,0.142568,0.661203
0.600416,0.11648,0.573732
0.555844,0.226573,0.552856
0.558816,0.178622,0.560971
0.585683,0.299122,0.492702
0.598577,0.225731,0.475476
0.60369,0.165609,0.480664
0.664347,0.0994077,0.575782
0.630765,0.126549,0.474841
0.716807,0.0998662,0.584312
0.685341,0.114973,0.480532
0.800072,0.153526,0.672491
0.773707,0.201972,0.593916
0.718571,0.257452,0.610787
0.765922,0.204991,0.524832
0.823616,0.132654,0.620889
0.733765,0.260273,0.564735
0.655662,0.255856,0.46904
0.677156,0.197013,0.469952
0.733562,0.250113,0.534728
0.737176,0.116789,0.494584
0.7961,0.143877,0.524312
-1.45839,0.183224,0.731171
-1.50653,0.236646,0.708576
-1.56367,0.221173,0.723969
-1.41208,0.110472,0.761058
-1.51144,0.159032,0.769637
-1.588,0.139812,0.754565
-1.56648,0.0888723,0.765282
-1.45528,0.0914776,0.778629
-1.61472,0.206992,0.716307
-1.63402,0.249813,0.695845
-1.44223,0.18523,0.694148
-1.65567,0.225894,0.681497
-1.64437,0.178366,0.699222
-1.61802,0.119623,0.723858
-1.61097,0.0935405,0.636388
-1.66009,0.203633,0.615512
-1.65682,0.155677,0.623627
-1.6272,0.276178,0.555359
-1.61299,0.202791,0.538132
-1.60736,0.142669,0.54332
-1.54051,0.0764636,0.638438
-1.57752,0.103604,0.537497
-1.4827,0.076922,0.646964
-1.51738,0.0920285,0.543183
-1.39093,0.130582,0.735147
-1.41999,0.179032,0.656572
-1.48075,0.234512,0.673443
-1.42857,0.182047,0.587488
-1.36499,0.109714,0.683545
-1.46401,0.237333,0.627392
-1.55009,0.232917,0.531691
-1.5264,0.174068,0.532608
-1.46423,0.227173,0.597381
-1.46025,0.0938491,0.557241
-1.39531,0.120933,0.586968
0.544216,0.280868,0.539358
-1.6729,0.257924,0.60201
1.93159,2.54042,-0.0895611
1.93144,2.52075,-0.0954461
1.91914,2.5251,-0.0988841
1.95282,2.52359,-0.0430381
1.93958,2.52786,-0.0868151
1.94421,2.50548,-0.0648441
1.91945,2.49953,-0.0851001
1.887,2.51272,-0.0951901
1.87473,2.53789,-0.104592
1.90693,2.53787,-0.105342
1.89098,2.56205,-0.102631
1.94014,2.55815,-0.0636461
1.9191,2.54159,-0.101278
2.3469,2.20107,0.0989109
2.37492,2.18983,0.0890365
2.35407,2.17249,0.0594589
2.32133,2.18289,0.0369859
2.32256,2.21835,0.0890235
2.29291,2.22008,0.0291219
2.2891,2.24386,0.0354959
2.30614,2.23548,0.0789422
2.29746,2.27104,0.0460629
2.32578,2.25786,0.0562499
2.36259,2.22344,0.0764691
2.32658,2.20581,0.0917036
2.39195,2.22273,0.1242
1.92357,2.56839,-0.0866691
1.93959,2.52786,0.429842
1.91911,2.54159,0.444305
