Points_0,Points_1,Points_2,Points_Magnitude,Point ID
-1.98957,2.05497,3.75782,4.72255,2472
-2.02011,2.06957,3.71548,4.70837,2471
-1.98589,2.06799,3.72907,4.70386,2466
-2.02094,2.01583,3.70675,4.67844,2478
-2.04467,2.08964,3.62943,4.66047,2470
-2.01848,2.00922,3.68659,4.65856,2484
-1.98819,2.07659,3.65984,4.65398,2465
-1.96093,2.05575,3.67889,4.64818,2460
-2.05992,2.03452,3.63364,4.64606,2477
-2.00756,2.00243,3.67647,4.64289,2490
-2.04141,2.13881,3.54442,4.61571,2463
-2.06442,2.13754,3.53166,4.61557,2469
-2.00357,2.1054,3.58455,4.61476,2464
-2.04842,1.99166,3.6164,4.60881,2483
-2.09375,2.0429,3.5522,4.60167,2476
-1.93685,2.03178,3.64351,4.59942,2454
-2.09853,2.10104,3.50559,4.59427,2475
-1.96459,2.08765,3.58907,4.5934,2459
-1.94267,2.07321,3.58998,4.57822,2453
-1.97152,1.98553,3.62177,4.57673,2497
-1.99551,2.14028,3.51196,4.5713,2458
-2.07561,1.97441,3.55313,4.56411,2482
-2.05921,2.17408,3.44185,4.56215,2468
-2.23611,2.57415,3.02126,4.5557,909
-2.21249,2.5896,3.0245,4.55508,1978
-2.03022,1.96604,3.57229,4.55504,2489
-2.00991,2.18183,3.44832,4.54874,2462
-1.92585,2.02506,3.58594,4.54629,2447
-2.25082,2.5548,3.00657,4.54232,906
-2.1863,2.597,3.01541,4.5406,1986
-2.1943,2.48917,3.09687,4.53889,907
-2.17261,2.50387,3.09962,4.53842,1977
-1.97948,2.16614,3.44844,4.52794,2457
-2.20816,2.47159,3.083,4.52654,903
-2.11347,2.65899,2.99204,4.52651,1901
-2.14892,2.51174,3.09053,4.52527,1985
-2.09899,2.01016,3.46323,4.52111,2481
-2.25269,2.53672,2.98437,4.51841,916
-2.04677,2.67029,3.01372,4.51688,1902
-2.16455,2.59438,2.99644,4.51605,1994
-1.93225,2.10143,3.49715,4.51438,2452
-1.95876,1.96319,3.55887,4.51181,2496
-2.00968,2.66621,3.03396,4.51136,1903
-2.09489,2.11307,3.38695,4.50833,2474
-1.99791,2.18974,3.39212,4.50479,2456
-2.2105,2.45583,3.06175,4.50463,914
-1.9129,2.04874,3.52598,4.50433,2446
-2.12956,2.51068,3.07203,4.50288,1993
-2.05998,2.20712,3.33791,4.50073,2467
-1.94084,2.14355,3.44732,4.49952,2451
-2.219,2.61135,2.91245,4.49728,911
-2.19351,2.62702,2.91732,4.49705,1979
-2.04539,1.95483,3.49484,4.49653,2488
-1.96178,2.65316,3.05423,4.49624,1904
-1.96186,2.17182,3.4058,4.49056,2450
-2.24122,2.52477,2.9606,4.49028,922
-2.12836,2.39016,3.14813,4.48926,905
-2.10675,2.58839,3.0023,4.4891,1914
-2.10838,2.40373,3.15066,4.48886,1976
-2.15305,2.58243,2.97266,4.48791,2001
-2.078,2.58929,3.01821,4.48688,1915
-2.03073,2.21583,3.32821,4.4845,2461
-1.92606,2.63037,3.07803,4.48362,1905
-2.23462,2.5897,2.8981,4.4832,908
-2.16497,2.63251,2.91137,4.48255,1987
-2.04994,2.58018,3.03836,4.48232,1916
-2.20068,2.44611,3.03878,4.47891,920
-2.14115,2.37397,3.13534,4.47779,904
-2.11972,2.50097,3.04906,4.47715,2000
-2.08659,2.41105,3.14225,4.47669,1984
-2.19225,2.57298,2.92975,4.47322,831
-2.08611,2.07487,3.36867,4.47268,2480
