Points_0,Points_1,Points_2
0.119775,0.0654721,0.00599444
0.13366,0.0478531,0.00493832
0.130009,0.0470359,0.000805481
0.120433,0.0645358,0.00569165
0.121103,0.0635764,0.00532733
0.135088,0.0493865,0.006604
0.130234,0.0468632,0.000248233
0.13103,0.04659,0.000208615
0.135675,0.0458583,0.0031488
0.136295,0.0470165,0.00544076
0.114607,0.119595,-0.0531308
0.12072,0.121119,-0.0523969
0.120343,0.121613,-0.0525079
0.119542,0.122432,-0.052698
0.119071,0.12273,-0.0527711
0.118171,0.123071,-0.0528786
0.117758,0.123171,-0.0529175
0.116737,0.123122,-0.0529596
0.115932,0.122902,-0.0529572
0.115144,0.122185,-0.0528601
0.114661,0.121433,-0.0527603
0.114487,0.12068,-0.0526463
0.11438,0.119759,-0.0524613
0.114814,0.11867,-0.052252
0.115095,0.118291,-0.052172
0.115728,0.117552,-0.0520056
0.11652,0.116887,-0.0518502
0.116951,0.116555,-0.0517676
0.1178,0.116046,-0.0516333
0.118772,0.115659,-0.0515128
0.121186,0.117664,-0.0510375
0.121274,0.11837,-0.0511679
0.121175,0.119435,-0.051356
0.120992,0.120293,-0.0515217
0.120596,0.121215,-0.0517043
0.120265,0.121701,-0.0518172
0.11948,0.122566,-0.0520097
0.118655,0.123102,-0.0521487
0.117747,0.123412,-0.052246
0.116758,0.123454,-0.0523103
0.115821,0.123169,-0.0523035
0.115044,0.122555,-0.0522161
0.114456,0.121705,-0.0521
0.114157,0.12087,-0.0519569
0.11415,0.119918,-0.0517829
0.114589,0.118821,-0.051576
0.114944,0.118368,-0.051478
0.11565,0.117633,-0.0513105
0.116473,0.116989,-0.0511575
0.116779,0.116758,-0.0511007
0.117636,0.116244,-0.0509673
0.118737,0.115891,-0.0508521
0.11907,0.115853,-0.050816
0.120354,0.116209,-0.050827
0.120878,0.117644,-0.0503458
0.121014,0.118534,-0.0504957
0.120948,0.119593,-0.0506803
0.120802,0.120366,-0.0508327
0.120461,0.121305,-0.051018
0.120174,0.121798,-0.0511244
0.119435,0.122686,-0.0513193
0.118659,0.123271,-0.05146
0.117694,0.123672,-0.0515817
0.116746,0.12373,-0.0516452
0.115781,0.123496,-0.0516514
0.114945,0.122943,-0.0515924
0.114216,0.121998,-0.0514568
0.113893,0.121074,-0.051303
0.113939,0.120064,-0.0511188
0.114421,0.118963,-0.0509003
0.114826,0.118417,-0.0507809
0.11564,0.117683,-0.0506124
0.116415,0.117074,-0.0504655
0.116869,0.116747,-0.050383
0.117724,0.116295,-0.0502535
0.118064,0.116202,-0.0502178
0.119046,0.1161,-0.0501514
0.120098,0.116499,-0.050188
0.12054,0.117626,-0.0496463
0.120736,0.118506,-0.0497872
0.120756,0.119745,-0.0500144
0.12062,0.120452,-0.0501497
0.1203,0.121368,-0.0503261
0.12007,0.121865,-0.0504259
0.119525,0.122666,-0.050602
0.118649,0.123429,-0.0507779
0.118179,0.123712,-0.0508533
0.117304,0.123998,-0.0509522
0.116715,0.124044,-0.0509853
0.115743,0.123868,-0.0509901
0.114803,0.123331,-0.0509532
0.11456,0.123101,-0.050926
0.113956,0.122318,-0.050805
0.113629,0.121356,-0.0506477
0.113724,0.120165,-0.0504488
0.114107,0.119191,-0.0502506
0.114674,0.118484,-0.0500915
0.11544,0.117798,-0.0499292
0.115812,0.117498,-0.0498567
0.116645,0.116932,-0.049715
0.117715,0.116445,-0.0495732
0.118999,0.116389,-0.0494969
0.120041,0.116839,-0.0495409
0.120213,0.117599,-0.0489481
0.12056,0.118658,-0.0491165
0.120562,0.119897,-0.0493304
0.120458,0.120562,-0.049459
0.120168,0.121468,-0.0496395
0.119748,0.122375,-0.0498213
0.119466,0.122785,-0.0499118
0.118655,0.123599,-0.0500984
0.118172,0.123906,-0.0501766
0.117308,0.124247,-0.0502816
0.116757,0.124346,-0.0503236
0.115689,0.124259,-0.0503538
0.114779,0.12382,-0.0503209
0.114164,0.12326,-0.0502531
0.113731,0.122618,-0.0501656
0.113359,0.121682,-0.0500157
0.11342,0.120409,-0.0497884
0.113885,0.11936,-0.0495819
0.114556,0.11854,-0.0493996
0.115343,0.117882,-0.0492385
0.115932,0.117462,-0.0491342
0.116782,0.116925,-0.0489919
0.117674,0.116611,-0.0488906
0.119052,0.116714,-0.0488429
0.119894,0.117655,-0.048263
0.120045,0.117924,-0.0483017
0.12034,0.118913,-0.0484558
0.120356,0.120058,-0.0486596
0.120195,0.121131,-0.0488604
0.119916,0.12188,-0.0490159
0.119385,0.122889,-0.049221
0.118637,0.123751,-0.0494187
0.11783,0.124326,-0.0495639
0.116751,0.124689,-0.0496812
0.115774,0.124681,-0.0497119
0.114698,0.124321,-0.0497084
0.113943,0.123648,-0.0496208
0.11347,0.122968,-0.0495283
0.113057,0.122015,-0.0493922
0.112986,0.121619,-0.0493118
0.113102,0.120581,-0.049133
0.113634,0.119489,-0.0488908
0.114425,0.118595,-0.0487001
0.115244,0.117931,-0.0485396
0.116092,0.117339,-0.0483918
0.116991,0.116908,-0.0482674
0.118116,0.116753,-0.0481698
0.119248,0.117103,-0.0481967
0.119422,0.117528,-0.0475608
0.119864,0.118126,-0.0476381
0.120132,0.119126,-0.0477943
0.120158,0.120228,-0.0479909
0.120005,0.121266,-0.0481865
0.119757,0.122004,-0.0483316
0.119306,0.122978,-0.0485325
0.118726,0.123778,-0.0487015
0.117856,0.12451,-0.048879
0.117333,0.124766,-0.0489487
0.116392,0.125042,-0.0490422
0.115579,0.125046,-0.0490807
0.114613,0.12479,-0.0490801
0.114375,0.124678,-0.0490768
0.113745,0.124071,-0.048996
0.113177,0.123325,-0.0488893
0.11275,0.122408,-0.0487571
0.112666,0.121812,-0.0486388
0.112798,0.12079,-0.0484674
0.11301,0.120185,-0.0483451
0.113556,0.119387,-0.0481756
0.114271,0.118634,-0.0480077
0.114936,0.118112,-0.0478782
0.115555,0.117687,-0.047772
0.116444,0.117229,-0.0476422
0.117012,0.117034,-0.0475694
0.118174,0.117017,-0.0475008
0.119244,0.117364,-0.0475408
0.119892,0.118952,-0.0470563
0.119982,0.119351,-0.0471326
0.119983,0.120378,-0.047314
0.119815,0.121438,-0.0475129
0.119742,0.121753,-0.0475714
0.119408,0.122668,-0.0477553
0.119216,0.123069,-0.0478407
0.118702,0.123907,-0.0480139
0.117885,0.124701,-0.0481973
0.117372,0.12504,-0.0482842
0.116453,0.125353,-0.0483844
0.115535,0.125408,-0.0484369
0.114545,0.125218,-0.0484441
0.114255,0.125108,-0.0484368
0.11352,0.124479,-0.0483655
0.112884,0.123659,-0.0482596
0.112448,0.122779,-0.0481251
0.112294,0.122005,-0.0479812
0.112452,0.120986,-0.0478245
0.112797,0.120208,-0.0476622
0.113353,0.119398,-0.047472
0.114082,0.118674,-0.0473066
0.11485,0.118132,-0.0471709
0.115682,0.117599,-0.047037
0.116652,0.117222,-0.0469216
0.117888,0.11721,-0.046852
0.119023,0.117577,-0.0468778
0.11962,0.118928,-0.0463554
0.119742,0.119518,-0.0464579
0.119792,0.120517,-0.0466367
0.119653,0.121584,-0.0468336
0.119292,0.12276,-0.0470687
0.119116,0.123156,-0.0471507
0.118682,0.124035,-0.0473248
0.117932,0.124923,-0.0475252
0.117408,0.125293,-0.047613
0.116493,0.12569,-0.0477219
0.115821,0.125817,-0.0477868
0.115493,0.125825,-0.0477989
0.114508,0.125673,-0.0478105
0.114097,0.125526,-0.0477953
0.113308,0.124894,-0.0477358
0.112621,0.124111,-0.0476333
0.112126,0.12318,-0.047492
0.111945,0.122198,-0.0473216
0.112104,0.12114,-0.0471609
0.112549,0.120198,-0.0469486
0.113157,0.119411,-0.0467747
0.113951,0.118713,-0.0466174
0.114496,0.118325,-0.0465094
0.114757,0.118148,-0.0464609
0.115619,0.117628,-0.0463282
0.116532,0.11733,-0.0462288
0.117881,0.117387,-0.0461722
0.118932,0.11786,-0.0462219
0.119361,0.118919,-0.0456648
0.119562,0.119664,-0.0457784
